title,author,price,isbn,publisher,description,condition,category
"To Kill a Mockingbird","Harper Lee",350,9780061120084,"Harper Perennial","A gripping tale of racial injustice and childhood innocence in the American South.",very_good,fiction
"1984","George Orwell",299,9780451524935,"Signet Classic","A dystopian social science fiction novel and cautionary tale.",good,fiction
"The Great Gatsby","F. Scott Fitzgerald",275,9780743273565,Scribner,"The story of the mysteriously wealthy Jay Gatsby and his love for Daisy Buchanan.",like_new,fiction
"Introduction to Algorithms","Thomas H. Cormen",1200,9780262033848,"MIT Press","Comprehensive textbook covering a broad range of algorithms in depth.",good,textbook
"Harry Potter and the Philosopher's Stone","J.K. Rowling",450,9780439708180,Scholastic,"The first book in the Harry Potter series about a young wizard.",very_good,children
"The Lean Startup","Eric Ries",399,9780307887894,"Crown Business","How today's entrepreneurs use continuous innovation to create radically successful businesses.",new,non_fiction
"Clean Code","Robert C. Martin",650,9780132350884,"Prentice Hall","A handbook of agile software craftsmanship.",good,textbook
"Sapiens","Yuval Noah Harari",499,9780062316097,"Harper","A brief history of humankind from the Stone Age to the modern age.",like_new,non_fiction
"The Alchemist","Paulo Coelho",299,9780062315007,"HarperOne","A mystical story about following your dreams and personal legend.",good,fiction
"Atomic Habits","James Clear",425,9780735211292,"Avery","An easy and proven way to build good habits and break bad ones.",new,non_fiction
